"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Поле становится активным и подсвечивается синим поле Пароль","3906","При клике на глаз показать/скрыть пароль поле для ввода пароля становится активным","tests","Thu May 15 15:08:59 BST 2025","passed","Thu May 15 15:09:03 BST 2025","TestPasswordRecovery","test_password_recovery","",""
"Авторизация, добавление ингредиентов в корзину и оформление заказа. Проверка, что заказ оформлен","6049","Авторизированный пользователь может оформить заказ","tests","Thu May 15 15:03:56 BST 2025","passed","Thu May 15 15:04:02 BST 2025","TestMainPage","test_main_page","",""
"Авторизация и переход в раздел Конструктор","5050","Переход по клику на «Конструктор","tests","Thu May 15 15:01:37 BST 2025","passed","Thu May 15 15:01:42 BST 2025","TestMainPage","test_main_page","",""
"Авторизация и переход по клику на Ленту заказов","5798","Переход по клику на «Лента заказов","tests","Thu May 15 15:04:28 BST 2025","passed","Thu May 15 15:04:33 BST 2025","TestMainPage","test_main_page","",""
"Авторизация, добавление ингредиентов в корзину и оформление заказа. Проверка, что заказ оформлен","6248","Авторизированный пользователь может оформить заказ","tests","Thu May 15 15:03:43 BST 2025","passed","Thu May 15 15:03:49 BST 2025","TestMainPage","test_main_page","",""
"Переходим в раздел Лента заказов, проверяем счетчик Выполнено за все время:Создаем заказ через Api, переход в раздел Лента заказов и проверяем, что счетчик Выполнено за все время увеличился","10622","При создании нового заказа счётчик Выполнено за всё время увеличивается","tests","Thu May 15 15:06:23 BST 2025","passed","Thu May 15 15:06:33 BST 2025","TestOrderListPage","test_order_list_page","",""
"Переходим в раздел Лента заказов, проверяем счетчик Выполнено за сегодня: Создаем заказ через Api, переход в раздел Лента заказов и проверяем, что счетчик Выполнено за сегодня увеличился","11581","При создании нового заказа счётчик Выполнено за сегодня увеличивается","tests","Thu May 15 15:06:46 BST 2025","passed","Thu May 15 15:06:57 BST 2025","TestOrderListPage","test_order_list_page","",""
"Авторизация и переход по клику на Ленту заказов","5789","Переход по клику на «Лента заказов","tests","Thu May 15 15:04:14 BST 2025","passed","Thu May 15 15:04:20 BST 2025","TestMainPage","test_main_page","",""
"Переходим в раздел Лента заказов, проверяем счетчик Выполнено за все время:Создаем заказ через Api, переход в раздел Лента заказов и проверяем, что счетчик Выполнено за все время увеличился","11764","При создании нового заказа счётчик Выполнено за всё время увеличивается","tests","Thu May 15 15:06:04 BST 2025","passed","Thu May 15 15:06:15 BST 2025","TestOrderListPage","test_order_list_page","",""
"Авторизуемся и при нажатии на кнопку 'Личный кабинет' переходим в него","3054","Переход по клику на 'Личный кабинет'","tests","Thu May 15 15:09:27 BST 2025","passed","Thu May 15 15:09:30 BST 2025","TestPersonalAccount","test_personal_account","",""
